size_mean,size_std,size_min,size_25%,size_50%,size_75%,size_max,minute,ID,Unnamed: 0_mean,Unnamed: 0_std,Unnamed: 0_min,Unnamed: 0_25%,Unnamed: 0_50%,Unnamed: 0_75%,Unnamed: 0_max
6042.46273034424,16970.57676286047,27.0,27.0,27.0,1051.0,65535.0,3,./data/raw/Raw_traffic_and_movement_data/group1_order1_user7,707132.0,51179.07027454354,618488.0,662810.0,707132.0,751454.0,795776.0
7047.548550674024,18409.056480959567,27.0,27.0,27.0,1051.0,65535.0,4,./data/raw/Raw_traffic_and_movement_data/group1_order1_user7,831569.0,20664.953847032903,795777.0,813673.0,831569.0,849465.0,867361.0
,,,,,,,5,./data/raw/Raw_traffic_and_movement_data/group1_order1_user7,,,,,,,
,,,,,,,6,./data/raw/Raw_traffic_and_movement_data/group1_order1_user7,,,,,,,
5068.1157769386255,15495.062064479253,27.0,27.0,27.0,1051.0,65535.0,7,./data/raw/Raw_traffic_and_movement_data/group1_order1_user7,931182.5,36847.2158672357,867362.0,899272.25,931182.5,963092.75,995003.0
5063.9691683551,15522.76324240315,27.0,27.0,27.0,1051.0,65535.0,8,./data/raw/Raw_traffic_and_movement_data/group1_order1_user7,1101858.0,61692.61867652131,995004.0,1048431.0,1101858.0,1155285.0,1208712.0
5062.910520334326,15501.757966284938,27.0,27.0,27.0,1051.0,65535.0,9,./data/raw/Raw_traffic_and_movement_data/group1_order1_user7,1312982.0,60200.16823066195,1208713.0,1260847.5,1312982.0,1365116.5,1417251.0
5096.535291611875,15654.08445992198,27.0,27.0,27.0,1051.0,65535.0,0,./data/raw/Raw_traffic_and_movement_data/group1_order1_user8,,,,,,,
5109.767061488193,15671.155018550582,27.0,27.0,27.0,1051.0,65535.0,1,./data/raw/Raw_traffic_and_movement_data/group1_order1_user8,,,,,,,
5043.057289389835,15449.647269528205,27.0,27.0,27.0,1051.0,65535.0,2,./data/raw/Raw_traffic_and_movement_data/group1_order1_user8,,,,,,,
5066.671689760223,15534.638368318381,27.0,27.0,27.0,1051.0,65535.0,3,./data/raw/Raw_traffic_and_movement_data/group1_order1_user8,,,,,,,
5092.844454893531,15549.432035516054,27.0,27.0,27.0,1051.0,65535.0,4,./data/raw/Raw_traffic_and_movement_data/group1_order1_user8,,,,,,,
5085.913784268511,15575.330864568157,27.0,27.0,27.0,1051.0,65535.0,5,./data/raw/Raw_traffic_and_movement_data/group1_order1_user8,,,,,,,
5031.198553897669,15426.61900978959,27.0,27.0,27.0,1051.0,65535.0,6,./data/raw/Raw_traffic_and_movement_data/group1_order1_user8,,,,,,,
5030.180684453419,15449.380581895393,27.0,27.0,27.0,1051.0,65535.0,7,./data/raw/Raw_traffic_and_movement_data/group1_order1_user8,,,,,,,
5062.977244624983,15592.20155505686,27.0,27.0,27.0,1051.0,65535.0,8,./data/raw/Raw_traffic_and_movement_data/group1_order1_user8,,,,,,,
5074.743190516543,15579.104040756705,27.0,27.0,27.0,1051.0,65535.0,9,./data/raw/Raw_traffic_and_movement_data/group1_order1_user8,,,,,,,
5030.012658646766,15542.84505401221,27.0,27.0,27.0,1051.0,65535.0,0,./data/raw/Raw_traffic_and_movement_data/group1_order1_user9,,,,,,,
5069.179484318633,15602.454067073664,27.0,27.0,27.0,1051.0,65535.0,1,./data/raw/Raw_traffic_and_movement_data/group1_order1_user9,,,,,,,
4980.570318982083,15334.109614941004,27.0,27.0,27.0,1051.0,65535.0,2,./data/raw/Raw_traffic_and_movement_data/group1_order1_user9,,,,,,,
4984.609092627809,15381.130826551422,27.0,27.0,27.0,1051.0,65535.0,3,./data/raw/Raw_traffic_and_movement_data/group1_order1_user9,,,,,,,
4962.829359993164,15290.749585795684,27.0,27.0,27.0,1051.0,65535.0,4,./data/raw/Raw_traffic_and_movement_data/group1_order1_user9,,,,,,,
5001.821436960972,15421.116437911523,27.0,27.0,27.0,1051.0,65535.0,5,./data/raw/Raw_traffic_and_movement_data/group1_order1_user9,,,,,,,
4989.075733971061,15416.980416102293,27.0,27.0,27.0,1051.0,65535.0,6,./data/raw/Raw_traffic_and_movement_data/group1_order1_user9,,,,,,,
4965.333318542841,15363.855151454232,27.0,27.0,27.0,1051.0,65535.0,7,./data/raw/Raw_traffic_and_movement_data/group1_order1_user9,,,,,,,
4994.420099742757,15485.178422014003,27.0,27.0,27.0,1051.0,65535.0,8,./data/raw/Raw_traffic_and_movement_data/group1_order1_user9,,,,,,,
4947.686283805387,15380.722394467904,27.0,27.0,27.0,1051.0,65535.0,9,./data/raw/Raw_traffic_and_movement_data/group1_order1_user9,,,,,,,
6628.926626669472,17916.32506731304,27.0,27.0,27.0,1051.0,65535.0,0,./data/raw/Raw_traffic_and_movement_data/group1_order2_user0,,,,,,,
6677.913136671566,17745.488122539835,27.0,27.0,27.0,1051.0,65535.0,1,./data/raw/Raw_traffic_and_movement_data/group1_order2_user0,,,,,,,
6707.534693205134,17919.51852189973,27.0,27.0,27.0,1051.0,65535.0,2,./data/raw/Raw_traffic_and_movement_data/group1_order2_user0,,,,,,,
6647.798920543409,17827.63111420677,27.0,27.0,27.0,1051.0,65535.0,3,./data/raw/Raw_traffic_and_movement_data/group1_order2_user0,,,,,,,
6668.296475509631,17910.72274600497,27.0,27.0,27.0,1051.0,65535.0,4,./data/raw/Raw_traffic_and_movement_data/group1_order2_user0,,,,,,,
6843.201076169561,18175.564428609676,27.0,27.0,27.0,1051.0,65535.0,5,./data/raw/Raw_traffic_and_movement_data/group1_order2_user0,,,,,,,
6735.853039265039,18067.794934146626,27.0,27.0,27.0,1051.0,65535.0,6,./data/raw/Raw_traffic_and_movement_data/group1_order2_user0,,,,,,,
6758.3023298337575,18081.83257936317,27.0,27.0,27.0,1051.0,65535.0,7,./data/raw/Raw_traffic_and_movement_data/group1_order2_user0,,,,,,,
6740.821191744444,18018.282104110072,27.0,27.0,27.0,1051.0,65535.0,8,./data/raw/Raw_traffic_and_movement_data/group1_order2_user0,,,,,,,
6745.841044251065,17994.09307206934,27.0,27.0,27.0,1051.0,65535.0,9,./data/raw/Raw_traffic_and_movement_data/group1_order2_user0,,,,,,,
6660.423816375012,18025.214248525055,27.0,27.0,27.0,1051.0,65535.0,0,./data/raw/Raw_traffic_and_movement_data/group1_order2_user1,,,,,,,
6775.310761650862,17945.84726692124,27.0,27.0,27.0,1051.0,65535.0,1,./data/raw/Raw_traffic_and_movement_data/group1_order2_user1,,,,,,,
6787.190600414648,18005.27122069252,27.0,27.0,27.0,1051.0,65535.0,2,./data/raw/Raw_traffic_and_movement_data/group1_order2_user1,,,,,,,
6738.180730621683,17852.373324356766,27.0,27.0,27.0,1051.0,65535.0,3,./data/raw/Raw_traffic_and_movement_data/group1_order2_user1,,,,,,,
6851.113356921116,18160.154766221498,27.0,27.0,27.0,1051.0,65535.0,4,./data/raw/Raw_traffic_and_movement_data/group1_order2_user1,,,,,,,
6929.852913137036,18332.974666720107,27.0,27.0,27.0,1051.0,65535.0,5,./data/raw/Raw_traffic_and_movement_data/group1_order2_user1,,,,,,,
